hour,count,percent
0,1763,21.741275126402762
1,1984,24.466642002713034
2,323,3.9832285115303985
3,304,3.74892095202861
4,252,3.107658157602664
5,251,3.09532618078678
6,136,1.6771488469601679
7,10,0.12331976815883586
8,154,1.899124429646072
9,192,2.3677395486496486
10,73,0.9002343075595017
11,39,0.4809470958194599
12,189,2.3307436182019976
13,329,4.057220372425699
14,40,0.49327907263534343
15,0,0.0
16,0,0.0
17,0,0.0
18,196,2.4170674559131826
19,0,0.0
20,202,2.4910593168084842
21,847,10.445184363053398
22,0,0.0
23,825,10.17388087310396
