province,current_strikes,historical_mean_strikes,strike_anomaly,strike_anomaly_percent,area_km2,current_density_km2,historical_mean_density_km2,density_anomaly_km2,density_anomaly_percent
Bayern,3679.0,0.0,3679.0,100.0,162239.1648202032,0.02267639878494902,0.0,0.02267639878494902,
Bergamo,2048.0,0.0,2048.0,100.0,5625.302011469771,0.3640693416680932,0.0,0.3640693416680932,
Kärnten,1993.0,0.0,1993.0,100.0,20555.75702592935,0.09695580646755063,0.0,0.09695580646755063,
Milano,1930.0,0.0,1930.0,100.0,3146.051462392725,0.6134673965352561,0.0,0.6134673965352561,
Cantal,1729.0,0.0,1729.0,100.0,11609.235262411508,0.14893315200512583,0.0,0.14893315200512583,
Brescia,1644.0,0.0,1644.0,100.0,9987.96301420034,0.16459812653117062,0.0,0.16459812653117062,
Gerona,1467.0,0.0,1467.0,100.0,10680.721661560492,0.13735026962454014,0.0,0.13735026962454014,
Steiermark,1419.0,0.0,1419.0,100.0,35694.06340064392,0.039754509988750714,0.0,0.039754509988750714,
Vorarlberg,1236.0,0.0,1236.0,100.0,5642.474633451219,0.21905282350272626,0.0,0.21905282350272626,
Una-Sana,1228.0,0.0,1228.0,100.0,9583.17311758902,0.1281412727216751,0.0,0.1281412727216751,
Como,1224.0,0.0,1224.0,100.0,2687.4415075287234,0.4554517732092139,0.0,0.4554517732092139,
Niederösterreich,1155.0,0.0,1155.0,100.0,43085.20508977451,0.02680734599251376,0.0,0.02680734599251376,
Baden-Württemberg,1149.0,0.0,1149.0,100.0,82361.67344410799,0.01395066360301349,0.0,0.01395066360301349,
Seien-et-Marne,1084.0,0.0,1084.0,100.0,13485.024285143027,0.0803854688785607,0.0,0.0803854688785607,
Ferrara,1070.0,0.0,1070.0,100.0,5323.730690410394,0.20098687597541043,0.0,0.20098687597541043,
Varese,1014.0,0.0,1014.0,100.0,2310.187990328194,0.4389253187382155,0.0,0.4389253187382155,
Ardennes,1014.0,0.0,1014.0,100.0,12354.438972224416,0.08207576258862925,0.0,0.08207576258862925,
Mantova,992.0,0.0,992.0,100.0,4646.058124530389,0.21351433266889416,0.0,0.21351433266889416,
Pavia,975.0,0.0,975.0,100.0,6098.647156537802,0.15987152149879527,0.0,0.15987152149879527,
Perugia,938.0,0.0,938.0,100.0,11960.142823045504,0.07842715708984734,0.0,0.07842715708984734,
Lecco,794.0,0.0,794.0,100.0,1716.8369275303764,0.46247840273458446,0.0,0.46247840273458446,
