hour,count,percent
0,7926,4.451408545626095
1,4410,2.4767488879902952
2,2757,1.5483892707912117
3,3040,1.7073280316304982
4,2609,1.4652693534618324
5,2403,1.3495754144763445
6,1788,1.0041784607089905
7,1810,1.0165341240957901
8,1689,0.948577975468392
9,2173,1.2204025699779844
10,2341,1.314754908568091
11,2987,1.6775621152895719
12,3638,2.0431774273262344
13,5139,2.886170642943793
14,13616,7.647032394302916
15,15206,8.54000988453071
16,15652,8.79049287864492
17,16937,9.512175944646629
18,11055,6.208720851866829
19,11730,6.587815069416364
20,14195,7.972210989800961
21,13069,7.339825672822034
22,12238,6.873118569438828
23,9648,5.4185200161746865
