hour,count,percent
0,3957,5.002591688896193
1,3871,4.893867179104666
2,2249,2.843272354897028
3,1569,1.983590184452395
4,1455,1.8394669970543243
5,1656,2.09357893272987
6,1698,2.1466769491396858
7,957,1.2098762310522255
8,906,1.1454000682688783
9,573,0.7244086524481979
10,478,0.6043059962831389
11,612,0.7737139534001694
12,606,0.7661285224844815
13,816,1.0316186045335594
14,2313,2.924183617997699
15,4055,5.126487060519096
16,5671,7.169496453811047
17,7038,8.897710464101948
18,9231,11.670185463785888
19,5522,6.981124919404796
20,5538,7.001352735179964
21,5590,7.06709313644926
22,6441,8.142960087990998
23,6297,7.960909746014488
