province,current_strikes,historical_mean_strikes,strike_anomaly,strike_anomaly_percent,area_km2,current_density_km2,historical_mean_density_km2,density_anomaly_km2,density_anomaly_percent
Ardèche,155.0,74.0,81.0,109.45945945945945,11229.158610716588,0.013803349420327467,0.0065899861748660166,0.00721336324546145,109.45945945945945
Alpes-de-Haute-Provence,72.0,4.0,68.0,1700.0,13511.786583389337,0.005328680967216647,0.0002960378315120359,0.005032643135704611,1700.0
Sondrio,65.0,36.5,28.5,78.08219178082192,6782.30439826001,0.009583763302731687,0.0053816517007647165,0.004202111601966971,78.08219178082192
Ain,34.0,6.0,28.0,466.6666666666667,11784.255627902563,0.002885205572042698,0.0005091539244781232,0.0023760516475645746,466.66666666666663
Turin,9.0,4.0,5.0,125.0,14015.108331477837,0.0006421641408069648,0.0002854062848030955,0.0003567578560038693,125.0
Pistoia,5.0,2.5,2.5,100.0,1842.386452177131,0.002713871454108635,0.0013569357270543174,0.0013569357270543174,100.0
Valais,4.0,2.0,2.0,100.0,11061.667123879331,0.0003616091458189892,0.0001808045729094946,0.0001808045729094946,100.0
Chieti,0.0,1.0,-1.0,-100.0,4691.984517677458,0.0,0.0002131294330218724,-0.0002131294330218724,-100.0
Cerkvenjak,0.0,1.0,-1.0,-100.0,43.045441425804235,0.0,0.023231263680351878,-0.023231263680351878,-100.0
Doboj,0.0,1.0,-1.0,-100.0,4640.912709912066,0.0,0.00021547485645748065,-0.00021547485645748065,-100.0
Vransko,0.0,1.0,-1.0,-100.0,116.37520471762726,0.0,0.008592895732612455,-0.008592895732612455,-100.0
Vratsa,0.0,1.0,-1.0,-100.0,8364.826648378274,0.0,0.00011954820369097242,-0.00011954820369097242,-100.0
Triesenberg,0.0,1.0,-1.0,-100.0,45.55093539178768,0.0,0.021953445991809175,-0.021953445991809175,-100.0
Planken,0.0,1.0,-1.0,-100.0,12.779881629774916,0.0,0.07824798609011939,-0.07824798609011939,-100.0
Campobasso,0.0,1.0,-1.0,-100.0,5341.2216107897875,0.0,0.00018722308731394007,-0.00018722308731394007,-100.0
Plav,0.0,1.0,-1.0,-100.0,937.454486405771,0.0,0.0010667184535369076,-0.0010667184535369076,-100.0
Schaan,0.0,1.0,-1.0,-100.0,53.795685034338725,0.0,0.018588851491744784,-0.018588851491744784,-100.0
Brda,0.0,1.0,-1.0,-100.0,173.14382722089564,0.0,0.00577554519875668,-0.00577554519875668,-100.0
Silistra,0.0,1.0,-1.0,-100.0,5903.947886112425,0.0,0.00016937818884754256,-0.00016937818884754256,-100.0
Črenšovci,0.0,1.0,-1.0,-100.0,62.92397479258777,0.0,0.015892193767101256,-0.015892193767101256,-100.0
Đakovica,0.0,1.0,-1.0,-100.0,1090.9270641124315,0.0,0.00091665156443212,-0.00091665156443212,-100.0
Ternopil',0.0,1.0,-1.0,-100.0,32989.93046142941,0.0,3.0312279717265925e-05,-3.0312279717265925e-05,-100.0
Prizren,0.0,1.0,-1.0,-100.0,1104.2668584065138,0.0,0.0009055782054738348,-0.0009055782054738348,-100.0
Domagnano,0.0,1.0,-1.0,-100.0,15.01978203517933,0.0,0.06657886230690965,-0.06657886230690965,-100.0
Tuzla,0.0,1.0,-1.0,-100.0,6016.180131560192,0.0,0.00016621842732967958,-0.00016621842732967958,-100.0
Eschen,0.0,1.0,-1.0,-100.0,16.439129218050606,0.0,0.06083047263245386,-0.06083047263245386,-100.0
Schaffhausen,0.0,1.0,-1.0,-100.0,726.7329021530878,0.0,0.0013760213649847215,-0.0013760213649847215,-100.0
Pazardzhik,0.0,1.0,-1.0,-100.0,7849.500295457189,0.0,0.00012739664467287668,-0.00012739664467287668,-100.0
Heves,0.0,1.0,-1.0,-100.0,7408.078459322448,0.0,0.00013498777118668115,-0.00013498777118668115,-100.0
Serravalle,0.0,1.0,-1.0,-100.0,17.70060469947719,0.0,0.05649524504829693,-0.05649524504829693,-100.0
Haskovo,0.0,1.0,-1.0,-100.0,7274.27334120254,0.0,0.00013747077585548717,-0.00013747077585548717,-100.0
Hajdina,0.0,1.0,-1.0,-100.0,43.66512193415563,0.0,0.02290157351462203,-0.02290157351462203,-100.0
Kidricevo,0.0,1.0,-1.0,-100.0,157.7682883592623,0.0,0.006338409387587754,-0.006338409387587754,-100.0
Kolašin,0.0,1.0,-1.0,-100.0,1591.4327263149944,0.0,0.000628364607227556,-0.000628364607227556,-100.0
Grodno,0.0,1.0,-1.0,-100.0,71755.84826529594,0.0,1.3936146309674955e-05,-1.3936146309674955e-05,-100.0
Komen,0.0,1.0,-1.0,-100.0,226.00241098946324,0.0,0.004424731557605473,-0.004424731557605473,-100.0
Koper,0.0,1.0,-1.0,-100.0,636.0604604430321,0.0,0.0015721775871801163,-0.0015721775871801163,-100.0
Grad Beograd,0.0,1.0,-1.0,-100.0,6631.590702142328,0.0,0.00015079338350555186,-0.00015079338350555186,-100.0
Val-d'Oise,0.0,1.0,-1.0,-100.0,3128.3858304766063,0.0,0.00031965366620000676,-0.00031965366620000676,-100.0
Gorišnica,0.0,1.0,-1.0,-100.0,153.1771035614735,0.0,0.006528390841381048,-0.006528390841381048,-100.0
Vaduz,0.0,1.0,-1.0,-100.0,30.71699818421386,0.0,0.03255526448264472,-0.03255526448264472,-100.0
Pescara,0.0,1.0,-1.0,-100.0,2240.7658966947456,0.0,0.00044627598156284673,-0.00044627598156284673,-100.0
Fribourg,0.0,1.0,-1.0,-100.0,3500.1189732209223,0.0,0.00028570457394474445,-0.00028570457394474445,-100.0
Mengeš,0.0,1.0,-1.0,-100.0,47.061995916005884,0.0,0.02124856756574359,-0.02124856756574359,-100.0
Šavnik,0.0,1.0,-1.0,-100.0,1019.2889908004021,0.0,0.000981076033416926,-0.000981076033416926,-100.0
Vecumnieku,0.0,1.0,-1.0,-100.0,2859.1707796595842,0.0,0.00034975175568878084,-0.00034975175568878084,-100.0
Taraclia,0.0,1.0,-1.0,-100.0,1638.4617422957422,0.0,0.0006103285625692077,-0.0006103285625692077,-100.0
Moravicki,0.0,1.0,-1.0,-100.0,5853.219109018393,0.0,0.0001708461585624297,-0.0001708461585624297,-100.0
Škocjan,0.0,1.0,-1.0,-100.0,119.7124613169358,0.0,0.008353349258708537,-0.008353349258708537,-100.0
Šmartno in Litiji,0.0,1.0,-1.0,-100.0,222.64606236474745,0.0,0.004491433575689118,-0.004491433575689118,-100.0
