hour,count,percent
0,8710,4.700029139101437
1,4954,2.6732427502994853
2,2757,1.4877130122276305
3,3520,1.8994377232648745
4,2609,1.4078502897721754
5,2403,1.296690013922015
6,2404,1.297229626911579
7,1810,0.9766995111106314
8,1689,0.9114063393734014
9,2364,1.2756451073290238
10,2341,1.263234008569054
11,3295,1.7780248006130004
12,3638,1.9631120560334128
13,5939,3.2047615450199114
14,13935,7.5195070095727345
15,15324,8.269029452076971
16,15652,8.446022512653926
17,18393,9.925101717048532
18,11258,6.074963036510215
19,11730,6.329660367584368
20,14195,7.659806386859344
21,13688,7.386222601150455
22,13062,7.048424869683463
23,9648,5.20618612331236
